Ciudad,Latitud,Longitud
Atenas,38,23.7
Bagdad,33.3,44,4
Bamako,12.6,-8
Bangkok,13.7,100.5
Budapest,47.5,19
Buenos Aires,-34.6,-58.4
El Cairo,30,31
Colombo,7,80
Estambul,41,29
Katmandu,27.7,85.3
Kigali,-2,30
Lima,-12,-77
Londres,51,7
Ciudad de Mexico,19.5,-99
Montreal,45.5,-73.6
Moroni,-11.7,43.3
Moscú,55.7,37.6
Nueva Delhi,28.6,77.2
Nueva York,40.6,-74
Oslo,60,10.7
Paris,48.9,2.3
Pekín,40,116.4
Puerto Moresby,-9.5,147.2
Reikiavik,64,-21.9
Rio de Janeiro,-23,-43.2
Roma,41.9,12.5
San Marino,44,12.5
Singapur,1.4,103.8
Sydney,-33.9,151.2
Tokio,35.7,139.7