Pista,Ladron
Le gusta escalar,Nick Brunch
Es de pelo morocho,Nick Brunch
Tenia un gran anillo en su mano derecha,Nick Brunch
Se fue en una moto de 1000 cc.,Nick Brunch
Es un hombre,Nick Brunch
Es un hombre,Len Bulk
Dijo que si tenia un tiempo libre, iría a jugar al croquet,Len Bulk
Es pelirrojo,Len Bulk
Tiene un tatuaje en el brazo,Len Bulk
Se fue en un lujoso descapotable,Len Bulk
Es un hombre,Ihor Ihorovitch
Le gusta el croquet,Ihor Ihorovitch
Es rubio,Ihor Ihorovitch
Tiene una cicatriz en la cara indiscutible,Ihor Ihorovitch
Anda en una limusina,Ihor Ihorovitch
Es un hombre,Eddie el Rápido B
Le gusta el croquet,Eddie el Rápido B
Tiene el pelo negro,Eddie el Rápido B
Tiene unas elegantes joyas,Eddie el Rápido B
Anda en un deportivo muy valioso,Eddie el Rápido B
Es un masculino,Scar Graynolt
Le gusta el croquet,Scar Graynolt
Es de pelo colorado,Scar Graynolt
Lleva un anillo de matrimonio,Scar Graynolt
Anda en una limusina,Scar Graynolt
Es un femenino,Merey Laroc
Anduvo investigando sobre montañas,Merey Laroc
Tiene el pelo largo, y castaño,Merey Laroc
Tiene unas enormes joyas,Merey Laroc
Anda en una limusina negra,Merey Laroc
Es una mujer, muy bella,Lady Agatha
Pregunto sobre canchas de tenis,Lady Agatha
Es pelirroja,Lady Agatha
Tiene un anillo de matrimonio,Lady Agatha
Se fue en un hermoso descapotable,Lady Agatha
Es una hermosa mujer,Katherine Drib
Se fue en una moto,Katherine Drib
Tiene un tatuaje en la pierna,Katherine Drib
Tiene el pelo castaño y largo,Katherine Drib
Anduvo investigando sobre montañas,Katherine Drib
Es una mujer,Dazzle Annie
Tiene el pelo rubio,Dazzle Annie
Tiene una cicatriz en el brazo,Dazzle Annie
Se fue en una limusina,Dazzle Annie
Creo que venia de nadar tenia el pelo duro y con olor a cloro,Dazzle Annie
Es una mujer,Carmen Sandiego
Cargaba una mochila con raquetas de tenis,Carmen Sandiego
Tiene el pelo marron,Carmen Sandiego
Tenia unas joyas impresionantes,Carmen Sandiego
Se fue en un deportivo,Carmen Sandiego